BE_2025-12-22 18:58:40_0001628280-25-058618
GME_2025-12-09 16:03:45_0001326380-25-000097
BULL_2003-05-15 16:43:42_0000950144-03-006986
MRVL_2025-09-25 15:06:11_0001193125-25-217311
CRWV_2025-12-11 17:10:25_0001769628-25-000105
IREN_2025-11-06 16:01:56_0001878848-25-000079
ACHR_2025-12-02 08:35:26_0001824502-25-000022
PEP_2025-07-28 16:30:34_0001104659-25-071182
SOFI_2026-01-09 16:24:13_0001818874-26-000005
SMR_2025-11-06 16:35:07_0001822966-25-000173
NFLX_2025-12-05 07:31:07_0001193125-25-308651
IBM_2025-07-24 16:11:58_0000051143-25-000051
APP_2025-04-09 17:09:50_0001751008-25-000032
KO_2025-05-02 13:09:51_0000021344-25-000033
OPEN_2026-01-26 08:51:43_0001801169-26-000004
HIMS_2025-06-17 16:49:57_0001773751-25-000211
IONQ_2025-10-16 20:56:55_0000950142-25-002827
SMR_2026-01-27 12:16:35_0001822966-26-000007
OKLO_2025-06-16 16:05:47_0001104659-25-059855
CVNA_2025-07-30 16:06:24_0001690820-25-000310
PYPL_2025-06-09 16:35:39_0001633917-25-000105
ASTS_2025-11-10 16:27:55_0001193125-25-274360
PYPL_2025-06-24 16:28:28_0001633917-25-000124
RR_2025-12-05 16:06:09_0001213900-25-118715
KO_2025-07-22 07:00:23_0000021344-25-000054
PFE_2025-12-16 07:01:53_0000078003-25-000167
LMND_2025-06-09 16:42:02_0001691421-25-000081
GME_2025-09-09 16:07:25_0001326380-25-000073
MU_2025-07-18 16:05:39_0001104659-25-069019
SMR_2025-11-07 09:10:27_0001104659-25-108186
CNC_2025-08-04 16:36:48_0001071739-25-000155
GOOGL_2025-06-12 16:23:59_0001193125-25-139948
SOFI_2025-12-08 16:02:43_0001818874-25-000232
PEP_2026-02-02 18:12:16_0000077476-26-000009
NFLX_2025-12-22 06:05:15_0001193125-25-327462
RIVN_2025-11-07 16:01:10_0001874178-25-000056
PFE_2025-05-19 16:29:15_0001193125-25-122480
JOBY_2025-08-29 08:30:38_0001819848-25-000516
SNOW_2025-10-27 06:09:23_0001628280-25-046310
ALGN_2025-05-21 17:04:42_0001097149-25-000040
PANW_2026-01-29 16:33:45_0001193125-26-029489
SMCI_2025-10-23 09:09:02_0001628280-25-045989
IREN_2025-11-28 06:58:52_0001140361-25-043599
AMD_2025-11-04 16:16:10_0000002488-25-000163
AMD_2025-12-15 16:12:11_0000002488-25-000182
NVDA_2025-06-30 18:35:29_0001045810-25-000179
NVAX_2025-08-27 16:40:29_0001104659-25-084053
COIN_2025-08-05 21:52:33_0001679788-25-000167
QCOM_2026-01-16 16:02:23_0000804328-26-000008
TSLA_2026-01-02 09:20:13_0001628280-26-000016
PYPL_2025-07-29 07:00:55_0001633917-25-000158
BULL_2003-08-28 17:03:47_0000950144-03-010462
ASTS_2025-10-24 16:10:34_0001493152-25-019292
HIMS_2025-11-17 08:04:04_0001773751-25-000362
PFE_2025-11-13 15:33:11_0000078003-25-000159
BE_2025-08-06 16:33:05_0001104659-25-074738
NKE_2025-12-02 16:18:36_0000320187-25-000115
NFLX_2026-01-20 16:07:54_0001065280-26-000033
GME_2026-01-07 06:29:01_0001326380-26-000004
LNTH_2025-08-11 17:02:48_0001193125-25-178046
OKLO_2025-09-03 16:15:58_0001104659-25-087034
RIVN_2026-01-02 08:29:00_0001874178-26-000002
BRK-B_2025-11-21 10:46:21_0001193125-25-290864
COIN_2025-10-30 16:06:41_0001679788-25-000207
LYFT_2025-08-14 16:10:03_0001759509-25-000134
SNOW_2025-08-27 16:06:52_0001640147-25-000177
SOUN_2025-09-09 17:08:59_0001213900-25-086243
CVNA_2025-02-19 17:29:32_0001104659-25-015242
SOFI_2025-12-04 21:38:13_0001818874-25-000225
MSFT_2025-04-30 16:06:03_0000950170-25-061032
HOOD_2025-06-26 16:04:25_0001783879-25-000195
IREN_2025-12-03 06:06:12_0001140361-25-044095
LMND_2025-10-15 16:31:39_0001691421-25-000142
CRWV_2025-10-06 09:00:44_0001769628-25-000052
AMZN_2025-04-09 17:47:09_0001104659-25-033450
SMCI_2025-11-04 16:08:59_0001375365-25-000029
LYFT_2025-09-05 16:40:43_0001759509-25-000141
COIN_2025-07-31 16:07:07_0001679788-25-000153
CNC_2025-07-01 16:43:52_0001071739-25-000128
LYFT_2025-07-01 18:59:07_0001759509-25-000113
PFE_2025-04-29 08:02:49_0000078003-25-000111
AMZN_2025-02-06 16:09:12_0001018724-25-000002
CFLT_2025-06-13 17:24:48_0001193125-25-140872
JNJ_2025-07-16 08:06:45_0000200406-25-000170
PFE_2025-11-21 16:16:49_0001193125-25-291406
JOBY_2025-10-08 16:03:55_0001628280-25-044595
ABT_2025-11-21 16:06:09_0001104659-25-114995
PFE_2025-08-05 07:08:22_0000078003-25-000136
TEM_2026-01-12 06:05:18_0001193125-26-009650
ORCL_2025-09-22 08:22:12_0001193125-25-210089
INTC_2025-09-18 16:06:16_0000050863-25-000155
CVNA_2025-05-07 16:07:19_0001690820-25-000160
ORCL_2026-01-09 16:31:11_0001193125-26-009002
BE_2025-11-04 17:20:54_0001628280-25-049016
HOOD_2025-10-31 16:05:38_0001783879-25-000305
TEM_2025-07-03 17:21:25_0001193125-25-155545
ACHR_2025-11-21 17:05:59_0001824502-25-000019
PYPL_2025-04-29 07:01:41_0001633917-25-000062
CVS_2025-09-22 16:19:42_0001193125-25-211349
NFLX_2025-10-30 16:12:32_0001065280-25-000407
BA_2025-10-29 07:30:44_0001628280-25-046915
NVDA_2025-05-28 16:21:30_0001045810-25-000115
IREN_2025-12-08 17:13:43_0001140361-25-044888
GE_2025-10-21 06:23:23_0000040545-25-000131
QCOM_2025-07-30 16:01:22_0000804328-25-000044
CSCO_2025-06-09 16:45:23_0000858877-25-000046
SHOP_2025-12-02 08:01:54_0001594805-25-000090
NEE_2026-01-02 16:31:56_0000753308-26-000004
IREN_2025-12-01 16:48:06_0001140361-25-043803
QCOM_2025-11-05 16:01:12_0000804328-25-000084
IONQ_2026-01-30 17:00:24_0001193125-26-032000
AAPL_2025-07-31 16:30:25_0000320193-25-000071
AMZN_2025-11-20 17:00:42_0001104659-25-114647
PEP_2025-12-08 16:34:02_0000077476-25-000059
IBM_2025-10-22 16:13:59_0000051143-25-000061
